split,scene_id,actual_family,role,method,required_delay,required_phase,state,fallback,fallback_reason,global_uncertain,global_decorrelated,blocker,delay_estimate_ns,delay_confidence,delay_rmse_rad,delay_deadband_inside,delay_confidence_ok,delay_fit_ok,delay_support_ok,delay_active_independent,phase_method,phase_estimate_deg_per_pulse,phase_confidence,phase_rmse_rad,phase_deadband_inside,phase_confidence_ok,phase_fit_ok,phase_active_independent,pulse_coherence,estimated_gain_db,oracle_cancellation_db,current_cancellation_db,oracle_headroom_db,recovery_ratio,fallback_opportunity_cost_db,uncertain_headroom_gt_0_5_db,uncertain_headroom_gt_1_db,old_delay_blocked,old_phase_blocked
validation,validation_002,M2,target_on,J3_D3_P1_joint,False,True,CALIBRATABLE,False,,False,False,none,-0.12298697371819844,0.001557185739483713,0.08082018454745278,True,True,True,True,False,P1,-0.2135911862592605,0.9997181313408529,0.002349092982512057,False,True,True,True,0.8608060736916179,0.017301074973197217,23.7208495471263,23.0723598982814,0.6484896488448975,0.02667903027290294,0.6484896488448975,False,False,False,False
validation,validation_002,M2,target_on,J4_D3_P2_joint,False,True,CALIBRATABLE,False,,False,False,none,-0.12298697371819844,0.001557185739483713,0.08082018454745278,True,True,True,True,False,P2,-0.2135340663326996,0.9997638292882254,0.002177584435999255,False,True,True,True,0.8608060736916179,0.017164696815498814,23.7208495471263,23.0723598982814,0.6484896488448975,0.026468729063097475,0.6484896488448975,False,False,False,False
validation,validation_002,M2,target_off,J1_D3_delay_only,False,True,CALIBRATABLE,True,both_components_inside_null_deadband,False,False,none,-0.12293858225550504,0.0015560920459541938,0.08081629101164822,True,True,True,True,False,P1,-0.21359438431181588,0.9997200115986973,0.002341800099205199,False,True,True,True,0.8608141669327898,0.0,23.7209252784471,23.0723987493862,0.6485265290609021,0.0,0.6485265290609021,False,False,False,False
validation,validation_002,M2,target_off,J2_P1_phase_only,False,True,CALIBRATABLE,False,,False,False,none,-0.12293858225550504,0.0015560920459541938,0.08081629101164822,True,True,True,True,False,P1,-0.21359438431181588,0.9997200115986973,0.002341800099205199,False,True,True,True,0.8608141669327898,0.017302904345100956,23.7209252784471,23.0723987493862,0.6485265290609021,0.026680333910405175,0.6485265290609021,False,False,False,False
validation,validation_002,M2,target_off,J3_D3_P1_joint,False,True,CALIBRATABLE,False,,False,False,none,-0.12293858225550504,0.0015560920459541938,0.08081629101164822,True,True,True,True,False,P1,-0.21359438431181588,0.9997200115986973,0.002341800099205199,False,True,True,True,0.8608141669327898,0.017302904345100956,23.7209252784471,23.0723987493862,0.6485265290609021,0.026680333910405175,0.6485265290609021,False,False,False,False
validation,validation_002,M2,target_off,J4_D3_P2_joint,False,True,CALIBRATABLE,False,,False,False,none,-0.12293858225550504,0.0015560920459541938,0.08081629101164822,True,True,True,True,False,P2,-0.2135338211497506,0.9997642185471074,0.002175641023663013,False,True,True,True,0.8608141669327898,0.017165899693701192,23.7209252784471,23.0723987493862,0.6485265290609021,0.02646907863361927,0.6485265290609021,False,False,False,False
validation,validation_003,M3,target_on,J1_D3_delay_only,False,False,UNCERTAIN,True,state_uncertain,True,False,phase,0.1864361444735162,0.00344365139755054,0.07048185713859836,True,True,True,True,False,P1,-0.03276510502154633,0.043607696311266486,0.09225714265126936,False,True,False,False,0.8441847571571213,0.0,nan,nan,nan,nan,nan,False,False,False,False
validation,validation_003,M3,target_on,J2_P1_phase_only,False,False,UNCERTAIN,True,state_uncertain,True,False,phase,0.1864361444735162,0.00344365139755054,0.07048185713859836,True,True,True,True,False,P1,-0.03276510502154633,0.043607696311266486,0.09225714265126936,False,True,False,False,0.8441847571571213,0.0,nan,nan,nan,nan,nan,False,False,False,False
validation,validation_003,M3,target_on,J3_D3_P1_joint,False,False,UNCERTAIN,True,state_uncertain,True,False,phase,0.1864361444735162,0.00344365139755054,0.07048185713859836,True,True,True,True,False,P1,-0.03276510502154633,0.043607696311266486,0.09225714265126936,False,True,False,False,0.8441847571571213,0.0,nan,nan,nan,nan,nan,False,False,False,False
validation,validation_003,M3,target_on,J4_D3_P2_joint,False,False,UNCERTAIN,True,state_uncertain,True,False,phase,0.1864361444735162,0.00344365139755054,0.07048185713859836,True,True,True,True,False,P2,-0.03607297715768176,0.09105718858316525,0.08924138705458919,False,True,False,False,0.8441847571571213,0.0,nan,nan,nan,nan,nan,False,False,False,False
validation,validation_003,M3,target_off,J1_D3_delay_only,False,False,UNCERTAIN,True,state_uncertain,True,False,phase,0.1861348291930784,0.0034314508746408068,0.07049745434655758,True,True,True,True,False,P1,-0.03277082888392367,0.04361268994003453,0.09226793895556389,False,True,False,False,0.8441774115106171,0.0,nan,nan,nan,nan,nan,False,False,False,False
validation,validation_003,M3,target_off,J2_P1_phase_only,False,False,UNCERTAIN,True,state_uncertain,True,False,phase,0.1861348291930784,0.0034314508746408068,0.07049745434655758,True,True,True,True,False,P1,-0.03277082888392367,0.04361268994003453,0.09226793895556389,False,True,False,False,0.8441774115106171,0.0,nan,nan,nan,nan,nan,False,False,False,False
validation,validation_003,M3,target_off,J3_D3_P1_joint,False,False,UNCERTAIN,True,state_uncertain,True,False,phase,0.1861348291930784,0.0034314508746408068,0.07049745434655758,True,True,True,True,False,P1,-0.03277082888392367,0.04361268994003453,0.09226793895556389,False,True,False,False,0.8441774115106171,0.0,nan,nan,nan,nan,nan,False,False,False,False
validation,validation_003,M3,target_off,J4_D3_P2_joint,False,False,UNCERTAIN,True,state_uncertain,True,False,phase,0.1861348291930784,0.0034314508746408068,0.07049745434655758,True,True,True,True,False,P2,-0.03607325944939611,0.09103181326383558,0.08926202973417578,False,True,False,False,0.8441774115106171,0.0,nan,nan,nan,nan,nan,False,False,False,False
validation,validation_004,zero,target_on,J1_D3_delay_only,False,False,CALIBRATABLE,True,both_components_inside_null_deadband,False,False,none,-0.2717845727658608,0.020195478148309576,0.047869655792461226,True,True,True,True,False,P1,-0.0038649772990876612,0.1368908685825131,0.006345559283377974,True,True,True,False,0.8928787831381064,0.0,nan,nan,nan,nan,nan,False,False,False,False
validation,validation_004,zero,target_on,J2_P1_phase_only,False,False,CALIBRATABLE,True,both_components_inside_null_deadband,False,False,none,-0.2717845727658608,0.020195478148309576,0.047869655792461226,True,True,True,True,False,P1,-0.0038649772990876612,0.1368908685825131,0.006345559283377974,True,True,True,False,0.8928787831381064,0.0,nan,nan,nan,nan,nan,False,False,False,False
validation,validation_004,zero,target_on,J3_D3_P1_joint,False,False,CALIBRATABLE,True,both_components_inside_null_deadband,False,False,none,-0.2717845727658608,0.020195478148309576,0.047869655792461226,True,True,True,True,False,P1,-0.0038649772990876612,0.1368908685825131,0.006345559283377974,True,True,True,False,0.8928787831381064,0.0,nan,nan,nan,nan,nan,False,False,False,False
validation,validation_004,zero,target_on,J4_D3_P2_joint,False,False,CALIBRATABLE,True,both_components_inside_null_deadband,False,False,none,-0.2717845727658608,0.020195478148309576,0.047869655792461226,True,True,True,True,False,P2,-0.0038045312912188566,0.1849654964540196,0.006203529095939051,True,True,True,False,0.8928787831381064,0.0,nan,nan,nan,nan,nan,False,False,False,False
validation,validation_004,zero,target_off,J1_D3_delay_only,False,False,CALIBRATABLE,True,both_components_inside_null_deadband,False,False,none,-0.2716886486373226,0.0201688559899299,0.04788437441580203,True,True,True,True,False,P1,-0.0038692969184145,0.13618296691116083,0.00637133160911437,True,True,True,False,0.8928945593805628,0.0,nan,nan,nan,nan,nan,False,False,False,False
validation,validation_004,zero,target_off,J2_P1_phase_only,False,False,CALIBRATABLE,True,both_components_inside_null_deadband,False,False,none,-0.2716886486373226,0.0201688559899299,0.04788437441580203,True,True,True,True,False,P1,-0.0038692969184145,0.13618296691116083,0.00637133160911437,True,True,True,False,0.8928945593805628,0.0,nan,nan,nan,nan,nan,False,False,False,False
validation,validation_004,zero,target_off,J3_D3_P1_joint,False,False,CALIBRATABLE,True,both_components_inside_null_deadband,False,False,none,-0.2716886486373226,0.0201688559899299,0.04788437441580203,True,True,True,True,False,P1,-0.0038692969184145,0.13618296691116083,0.00637133160911437,True,True,True,False,0.8928945593805628,0.0,nan,nan,nan,nan,nan,False,False,False,False
validation,validation_004,zero,target_off,J4_D3_P2_joint,False,False,CALIBRATABLE,True,both_components_inside_null_deadband,False,False,none,-0.2716886486373226,0.0201688559899299,0.04788437441580203,True,True,True,True,False,P2,-0.0038094939344003515,0.1844408953153165,0.0062280316434532605,True,True,True,False,0.8928945593805628,0.0,nan,nan,nan,nan,nan,False,False,False,False
validation,validation_005,M1,target_on,J1_D3_delay_only,True,False,CALIBRATABLE,True,both_components_inside_null_deadband,False,False,none,0.5292186439910967,0.026090864988644324,0.0876472099793817,True,True,True,True,False,P1,0.001270746343671814,0.0009545760000301273,0.026972137416270404,True,True,True,False,0.8595492292242841,0.0,24.4867888751948,24.299969726757,0.18681914843780234,0.0,0.18681914843780234,False,False,True,False
validation,validation_005,M1,target_on,J2_P1_phase_only,True,False,CALIBRATABLE,True,both_components_inside_null_deadband,False,False,none,0.5292186439910967,0.026090864988644324,0.0876472099793817,True,True,True,True,False,P1,0.001270746343671814,0.0009545760000301273,0.026972137416270404,True,True,True,False,0.8595492292242841,0.0,24.4867888751948,24.299969726757,0.18681914843780234,0.0,0.18681914843780234,False,False,True,False
validation,validation_005,M1,target_on,J3_D3_P1_joint,True,False,CALIBRATABLE,True,both_components_inside_null_deadband,False,False,none,0.5292186439910967,0.026090864988644324,0.0876472099793817,True,True,True,True,False,P1,0.001270746343671814,0.0009545760000301273,0.026972137416270404,True,True,True,False,0.8595492292242841,0.0,24.4867888751948,24.299969726757,0.18681914843780234,0.0,0.18681914843780234,False,False,True,False
validation,validation_005,M1,target_on,J4_D3_P2_joint,True,False,CALIBRATABLE,True,both_components_inside_null_deadband,False,False,none,0.5292186439910967,0.026090864988644324,0.0876472099793817,True,True,True,True,False,P2,0.001135311106507249,0.24666873661331035,0.022831618525225673,True,True,True,False,0.8595492292242841,0.0,24.4867888751948,24.299969726757,0.18681914843780234,0.0,0.18681914843780234,False,False,True,False
validation,validation_005,M1,target_off,J1_D3_delay_only,True,False,CALIBRATABLE,True,both_components_inside_null_deadband,False,False,none,0.5291472460761589,0.026086584128794832,0.08764320773962214,True,True,True,True,False,P1,0.001274083771309368,0.0009591278436528183,0.026978851852074725,True,True,True,False,0.8595512340126575,0.0,24.4875931502713,24.3005407065936,0.18705244367770035,0.0,0.18705244367770035,False,False,True,False
validation,validation_005,M1,target_off,J2_P1_phase_only,True,False,CALIBRATABLE,True,both_components_inside_null_deadband,False,False,none,0.5291472460761589,0.026086584128794832,0.08764320773962214,True,True,True,True,False,P1,0.001274083771309368,0.0009591278436528183,0.026978851852074725,True,True,True,False,0.8595512340126575,0.0,24.4875931502713,24.3005407065936,0.18705244367770035,0.0,0.18705244367770035,False,False,True,False
validation,validation_005,M1,target_off,J3_D3_P1_joint,True,False,CALIBRATABLE,True,both_components_inside_null_deadband,False,False,none,0.5291472460761589,0.026086584128794832,0.08764320773962214,True,True,True,True,False,P1,0.001274083771309368,0.0009591278436528183,0.026978851852074725,True,True,True,False,0.8595512340126575,0.0,24.4875931502713,24.3005407065936,0.18705244367770035,0.0,0.18705244367770035,False,False,True,False
validation,validation_005,M1,target_off,J4_D3_P2_joint,True,False,CALIBRATABLE,True,both_components_inside_null_deadband,False,False,none,0.5291472460761589,0.026086584128794832,0.08764320773962214,True,True,True,True,False,P2,0.001132757316853703,0.24734511534908132,0.022821142348150643,True,True,True,False,0.8595512340126575,0.0,24.4875931502713,24.3005407065936,0.18705244367770035,0.0,0.18705244367770035,False,False,True,False
validation,validation_006,M2,target_on,J1_D3_delay_only,False,True,UNCERTAIN,True,state_uncertain,True,False,delay,-0.22943370477429098,0.003024224414178489,0.09855080945601474,True,True,False,True,False,P1,-0.4265100966616854,0.9997752846418856,0.004099690221613519,False,True,True,True,0.8404000825526048,0.0,18.512173108118,16.0494816636521,2.4626914444659,0.0,2.4626914444659,True,True,False,False
validation,validation_006,M2,target_on,J2_P1_phase_only,False,True,UNCERTAIN,True,state_uncertain,True,False,delay,-0.22943370477429098,0.003024224414178489,0.09855080945601474,True,True,False,True,False,P1,-0.4265100966616854,0.9997752846418856,0.004099690221613519,False,True,True,True,0.8404000825526048,0.0,18.512173108118,16.0494816636521,2.4626914444659,0.0,2.4626914444659,True,True,False,False
validation,validation_006,M2,target_on,J3_D3_P1_joint,False,True,UNCERTAIN,True,state_uncertain,True,False,delay,-0.22943370477429098,0.003024224414178489,0.09855080945601474,True,True,False,True,False,P1,-0.4265100966616854,0.9997752846418856,0.004099690221613519,False,True,True,True,0.8404000825526048,0.0,18.512173108118,16.0494816636521,2.4626914444659,0.0,2.4626914444659,True,True,False,False
validation,validation_006,M2,target_on,J4_D3_P2_joint,False,True,UNCERTAIN,True,state_uncertain,True,False,delay,-0.22943370477429098,0.003024224414178489,0.09855080945601474,True,True,False,True,False,P2,-0.42668963499454227,0.9998105411075295,0.0038072356322508783,False,True,True,True,0.8404000825526048,0.0,18.512173108118,16.0494816636521,2.4626914444659,0.0,2.4626914444659,True,True,False,False
validation,validation_006,M2,target_off,J1_D3_delay_only,False,True,UNCERTAIN,True,state_uncertain,True,False,delay,-0.22915646897576797,0.0030344855026672723,0.0983241741907856,True,True,False,True,False,P1,-0.42650989237360815,0.9997751988950001,0.004101610845427847,False,True,True,True,0.8404092676862103,0.0,18.5120356387601,16.0494268662189,2.4626087725411985,0.0,2.4626087725411985,True,True,False,False
validation,validation_006,M2,target_off,J2_P1_phase_only,False,True,UNCERTAIN,True,state_uncertain,True,False,delay,-0.22915646897576797,0.0030344855026672723,0.0983241741907856,True,True,False,True,False,P1,-0.42650989237360815,0.9997751988950001,0.004101610845427847,False,True,True,True,0.8404092676862103,0.0,18.5120356387601,16.0494268662189,2.4626087725411985,0.0,2.4626087725411985,True,True,False,False
validation,validation_006,M2,target_off,J3_D3_P1_joint,False,True,UNCERTAIN,True,state_uncertain,True,False,delay,-0.22915646897576797,0.0030344855026672723,0.0983241741907856,True,True,False,True,False,P1,-0.42650989237360815,0.9997751988950001,0.004101610845427847,False,True,True,True,0.8404092676862103,0.0,18.5120356387601,16.0494268662189,2.4626087725411985,0.0,2.4626087725411985,True,True,False,False
validation,validation_006,M2,target_off,J4_D3_P2_joint,False,True,UNCERTAIN,True,state_uncertain,True,False,delay,-0.22915646897576797,0.0030344855026672723,0.0983241741907856,True,True,False,True,False,P2,-0.42668774648074664,0.9998108740886293,0.0038038638894712772,False,True,True,True,0.8404092676862103,0.0,18.5120356387601,16.0494268662189,2.4626087725411985,0.0,2.4626087725411985,True,True,False,False
validation,validation_007,M3,target_on,J1_D3_delay_only,False,False,UNCERTAIN,True,state_uncertain,True,False,delay_and_phase,0.019569234379871556,4.875775263291082e-05,0.06495316552324427,True,False,True,True,False,P1,0.03890645777062668,0.16545134828569974,0.05565856330409749,False,True,False,False,0.8574065034436015,0.0,nan,nan,nan,nan,nan,False,False,False,False
