metric,comparison,delay_error_ns,expected_block_count,block_count,missing_block_count,duplicate_block_delay_count,unavailable_block_count,status,reason,source_classification
period_detection_pd,A1_to_A3,-2,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
period_detection_pd,A1_to_A2,-1,15,15,0,45,0,NOT_EVALUABLE,zero_recoverable_space,Formal-v2 confirmatory
period_detection_pd,A1_to_A3,-1,15,15,0,45,0,NOT_EVALUABLE,zero_recoverable_space,Formal-v2 confirmatory
period_detection_pd,A1_to_A2,1,15,15,0,45,0,NOT_EVALUABLE,zero_recoverable_space,Formal-v2 confirmatory
period_detection_pd,A1_to_A3,1,15,15,0,45,0,NOT_EVALUABLE,zero_recoverable_space,Formal-v2 confirmatory
period_detection_pd,A1_to_A2,2,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
period_detection_pd,A1_to_A3,2,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
period_detection_pd,A1_to_A2,4,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
period_detection_pd,A1_to_A3,4,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
period_detection_pd,A1_to_A2,8,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
period_detection_pd,A1_to_A3,8,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
position_rmse_m,A1_to_A2,-8,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
position_rmse_m,A1_to_A3,-8,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
position_rmse_m,A1_to_A2,-4,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
position_rmse_m,A1_to_A3,-4,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
position_rmse_m,A1_to_A2,-2,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
position_rmse_m,A1_to_A3,-2,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
position_rmse_m,A1_to_A2,-1,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
position_rmse_m,A1_to_A3,-1,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
position_rmse_m,A1_to_A2,1,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
position_rmse_m,A1_to_A3,1,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
position_rmse_m,A1_to_A2,2,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
position_rmse_m,A1_to_A3,2,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
position_rmse_m,A1_to_A2,4,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
position_rmse_m,A1_to_A3,4,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
position_rmse_m,A1_to_A2,8,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
position_rmse_m,A1_to_A3,8,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
target_detection_pd,A1_to_A2,-8,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
target_detection_pd,A1_to_A3,-8,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
target_detection_pd,A1_to_A2,-4,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
target_detection_pd,A1_to_A3,-4,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
target_detection_pd,A1_to_A2,-2,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
target_detection_pd,A1_to_A3,-2,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
target_detection_pd,A1_to_A2,-1,15,15,0,45,0,NOT_EVALUABLE,zero_recoverable_space,Formal-v2 confirmatory
target_detection_pd,A1_to_A3,-1,15,15,0,45,0,NOT_EVALUABLE,zero_recoverable_space,Formal-v2 confirmatory
target_detection_pd,A1_to_A2,1,15,15,0,45,0,NOT_EVALUABLE,zero_recoverable_space,Formal-v2 confirmatory
target_detection_pd,A1_to_A3,1,15,15,0,45,0,NOT_EVALUABLE,zero_recoverable_space,Formal-v2 confirmatory
target_detection_pd,A1_to_A2,2,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
target_detection_pd,A1_to_A3,2,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
target_detection_pd,A1_to_A2,4,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
target_detection_pd,A1_to_A3,4,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
target_detection_pd,A1_to_A2,8,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
target_detection_pd,A1_to_A3,8,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_continuity,A1_to_A2,-8,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_continuity,A1_to_A3,-8,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_continuity,A1_to_A2,-4,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_continuity,A1_to_A3,-4,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_continuity,A1_to_A2,-2,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_continuity,A1_to_A3,-2,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_continuity,A1_to_A2,-1,15,15,0,45,0,NOT_EVALUABLE,zero_recoverable_space,Formal-v2 confirmatory
track_continuity,A1_to_A3,-1,15,15,0,45,0,NOT_EVALUABLE,zero_recoverable_space,Formal-v2 confirmatory
track_continuity,A1_to_A2,1,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_continuity,A1_to_A3,1,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_continuity,A1_to_A2,2,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_continuity,A1_to_A3,2,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_continuity,A1_to_A2,4,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_continuity,A1_to_A3,4,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_continuity,A1_to_A2,8,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_continuity,A1_to_A3,8,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_continuity_after_confirmation,A1_to_A2,-8,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_continuity_after_confirmation,A1_to_A3,-8,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_continuity_after_confirmation,A1_to_A2,-4,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_continuity_after_confirmation,A1_to_A3,-4,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_continuity_after_confirmation,A1_to_A2,-2,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_continuity_after_confirmation,A1_to_A3,-2,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_continuity_after_confirmation,A1_to_A2,-1,15,15,0,45,0,NOT_EVALUABLE,zero_recoverable_space,Formal-v2 confirmatory
track_continuity_after_confirmation,A1_to_A3,-1,15,15,0,45,0,NOT_EVALUABLE,zero_recoverable_space,Formal-v2 confirmatory
track_continuity_after_confirmation,A1_to_A2,1,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_continuity_after_confirmation,A1_to_A3,1,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_continuity_after_confirmation,A1_to_A2,2,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_continuity_after_confirmation,A1_to_A3,2,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_continuity_after_confirmation,A1_to_A2,4,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_continuity_after_confirmation,A1_to_A3,4,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_continuity_after_confirmation,A1_to_A2,8,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_continuity_after_confirmation,A1_to_A3,8,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_pd_after_confirmation,A1_to_A2,-8,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_pd_after_confirmation,A1_to_A3,-8,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_pd_after_confirmation,A1_to_A2,-4,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_pd_after_confirmation,A1_to_A3,-4,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_pd_after_confirmation,A1_to_A2,-2,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_pd_after_confirmation,A1_to_A3,-2,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_pd_after_confirmation,A1_to_A2,-1,15,15,0,45,0,NOT_EVALUABLE,zero_recoverable_space,Formal-v2 confirmatory
track_pd_after_confirmation,A1_to_A3,-1,15,15,0,45,0,NOT_EVALUABLE,zero_recoverable_space,Formal-v2 confirmatory
track_pd_after_confirmation,A1_to_A2,1,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_pd_after_confirmation,A1_to_A3,1,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_pd_after_confirmation,A1_to_A2,2,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_pd_after_confirmation,A1_to_A3,2,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_pd_after_confirmation,A1_to_A2,4,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_pd_after_confirmation,A1_to_A3,4,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_pd_after_confirmation,A1_to_A2,8,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_pd_after_confirmation,A1_to_A3,8,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_pd_all_visible,A1_to_A2,-8,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_pd_all_visible,A1_to_A3,-8,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_pd_all_visible,A1_to_A2,-4,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_pd_all_visible,A1_to_A3,-4,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_pd_all_visible,A1_to_A2,-2,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_pd_all_visible,A1_to_A3,-2,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_pd_all_visible,A1_to_A2,-1,15,15,0,45,0,NOT_EVALUABLE,zero_recoverable_space,Formal-v2 confirmatory
track_pd_all_visible,A1_to_A3,-1,15,15,0,45,0,NOT_EVALUABLE,zero_recoverable_space,Formal-v2 confirmatory
track_pd_all_visible,A1_to_A2,1,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_pd_all_visible,A1_to_A3,1,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_pd_all_visible,A1_to_A2,2,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_pd_all_visible,A1_to_A3,2,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_pd_all_visible,A1_to_A2,4,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_pd_all_visible,A1_to_A3,4,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_pd_all_visible,A1_to_A2,8,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
track_pd_all_visible,A1_to_A3,8,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
velocity_rmse_mps_ground_speed,A1_to_A2,-8,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
velocity_rmse_mps_ground_speed,A1_to_A3,-8,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
velocity_rmse_mps_ground_speed,A1_to_A2,-4,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
velocity_rmse_mps_ground_speed,A1_to_A3,-4,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
velocity_rmse_mps_ground_speed,A1_to_A2,-2,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
velocity_rmse_mps_ground_speed,A1_to_A3,-2,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
velocity_rmse_mps_ground_speed,A1_to_A2,-1,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
velocity_rmse_mps_ground_speed,A1_to_A3,-1,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
velocity_rmse_mps_ground_speed,A1_to_A2,1,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
velocity_rmse_mps_ground_speed,A1_to_A3,1,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
velocity_rmse_mps_ground_speed,A1_to_A2,2,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
velocity_rmse_mps_ground_speed,A1_to_A3,2,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
velocity_rmse_mps_ground_speed,A1_to_A2,4,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
velocity_rmse_mps_ground_speed,A1_to_A3,4,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
velocity_rmse_mps_ground_speed,A1_to_A2,8,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
velocity_rmse_mps_ground_speed,A1_to_A3,8,15,15,0,45,0,passed,exact_duplicate_block_delay_rows_collapsed,Formal-v2 confirmatory
