branch,period_id,track_id,matched_det_index,resolved_source,eligible,matched_truth,position_error_m,range_error_m,seed
Current,1,28,3,measurement,1,0,1360.1032281634211,1346.9964130166918,303
Current,1,29,2,measurement,1,0,2247.669516676166,2240.5200010499975,303
Current,1,37,30,measurement,1,0,2434.8157497340194,2428.7475322999962,303
Current,1,38,35,measurement,1,1,26.33213340848941,2.9268929833051516,303
Current,2,1,38,measurement,1,1,34.27201794384497,1.7696458666905528,303
Current,2,2,25,measurement,1,0,3837.8281032648424,3815.587652666698,303
Current,2,8,36,measurement,1,0,3023.5951897444806,3012.185578283301,303
Current,2,12,10,measurement,1,0,1329.2320720434657,1309.8223578832985,303
Current,2,17,19,measurement,1,0,4826.12156396403,4788.455891933292,303
Current,2,19,14,measurement,1,0,2874.7117603454412,2831.2690822333097,303
Current,2,24,16,measurement,1,0,1107.328785558153,1007.5316294000077,303
Current,2,25,7,measurement,1,0,528.1012699057131,501.4237425332976,303
Current,2,27,32,measurement,1,0,2741.8410654079335,2737.375825116702,303
Current,2,30,8,measurement,1,0,389.5716894012654,299.06383338329033,303
Current,2,31,35,measurement,1,0,1986.65790276551,1901.9124624333053,303
Current,2,37,21,measurement,1,0,2378.4428134324194,2370.130064066703,303
Current,2,38,0,measurement,1,1,46.74568792740482,0.7286246167059289,303
Current,2,39,12,measurement,1,0,3553.689031781372,3540.777899499997,303
Current,2,40,23,measurement,1,0,942.5443073273,700.2443599499966,303
Current,2,49,2,measurement,1,0,5049.380201092236,5030.788128816697,303
Current,2,53,26,measurement,1,0,3064.5310456619113,2983.663581716697,303
Current,2,58,17,measurement,1,0,2883.1615863801276,2794.836046233293,303
blind_calibrated,1,1,0,measurement,1,1,3.6578517344831813,0.42862249999598134,303
blind_calibrated,1,3,20,measurement,1,0,4696.3440858143695,4678.831992783307,303
blind_calibrated,1,4,27,measurement,1,0,649.8574119164442,634.9893252666952,303
blind_calibrated,1,7,4,measurement,1,0,2746.1596623356336,2688.5676625666965,303
blind_calibrated,1,11,9,measurement,1,0,1854.0018198148782,1748.3607158333034,303
blind_calibrated,1,13,11,measurement,1,0,1557.5205569334137,1548.4990771667071,303
blind_calibrated,1,14,6,measurement,1,0,3854.4077785513846,3777.8135933000012,303
